Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Godin-Dubois, Kevin; Cussat-Blanc, Sylvain; Duthen, Yves; ",Self-sustainability Challenges of Plants Colonization Strategies in Virtual 3D Environments,"Applications of Evolutionary Computation: 22nd International Conference, EvoApplications 2019, Held as Part of EvoStar 2019, Leipzig, Germany, April 24–26, 2019, Proceedings 22",,,377-392,2019,Springer International Publishing
"Miller, Julian F; Wilson, Dennis G; Cussat-Blanc, Sylvain; ",Evolving programs to build artificial neural networks,From Astrophysics to Unconventional Computation: Essays Presented to Susan Stepney on the Occasion of her 60th Birthday,,,23-71,2020,Springer International Publishing
"Fernández Pérez, Iñaki; André, Pierre; Cussat-Blanc, Sylvain; Berro, Alain; Luga, Hervé; ",Dynamic Resource Allocation in Power Grids using Evolving Gene Regulatory Networks,,,,,2018,MIT Press
"Godin-Dubois, Kevin; Cussat-Blanc, Sylvain; Duthen, Yves; ",Speciation under changing environments,Artificial Life Conference Proceedings,,,349-356,2019,"MIT Press One Rogers Street, Cambridge, MA 02142-1209, USA journals-info …"
"Godin-Dubois, Kevin; Cussat-Blanc, Sylvain; Duthen, Yves; ",Studying long term interactions between plants and their environment,,,,,,
,Sequential adjustment of cytotoxic T lymphocyte densities improves efficacy in controlling tumor growth,,,,,,
"Khazen, Roxana; Müller, Sabina; Lafouresse, Fanny; Valitutti, Salvatore; Cussat-Blanc, Sylvain; ",Sequential adjustment of cytotoxic T lymphocyte densities improves efficacy in controlling tumor growth,Scientific reports,9,1,12308,2019,Nature Publishing Group UK London
"Cussat-Blanc, Sylvain; Harrington, Kyle; ",Genetically-regulated Neuromodulation Facilitates Multi-Task Reinforcement Learning (regular paper),"Genetic and Evolutionary Computation COnference (GECCO), Madrid, 11/07/2015-15/07/2015",,,,2015,ACM DL
"Cussat-Blanc, Sylvain; Luga, Hervé; Duthen, Yves; ",Modélisation et conception de créatures artificielles,Modéliser et simuler,,,657-687,2013,Editions Matériologiques
"Wilson, Dennis; Cussat-Blanc, Sylvain; Luga, Hervé; Miller, Julian; ",Evolving simple programs for playing atari games (regular paper),,,,,2018,
"Knote, Andreas; Fischer, Sabine C; Cussat-Blanc, Sylvain; Niebling, Florian; Bernard, David; Cogoni, Florian; Von Mammen, Sebastian; ",Immersive analysis of 3D multi-cellular in-vitro and in-silico cell cultures,2019 IEEE International Conference on Artificial Intelligence and Virtual Reality (AIVR),,,82-827,2019,IEEE
"Godin-Dubois, Kevin; Cussat-Blanc, Sylvain; Duthen, Yves; ",APOGeT: Automated phylogeny over geological timescales,ALIFE 2019 (MethAL workshop),,,,2019,
